iter	Logloss
0	0.6738137677
1	0.6544754726
2	0.6402733728
3	0.6251690286
4	0.6097938612
5	0.5962749278
6	0.587167663
7	0.5794001772
8	0.5684678769
9	0.5621988905
10	0.5554611479
11	0.5511769621
12	0.5444713864
13	0.5389208035
14	0.5326320254
15	0.5290933289
16	0.5237870856
17	0.5195143536
18	0.5163945056
19	0.5126103766
20	0.5104471804
21	0.5073096328
22	0.5033711411
23	0.5001921221
24	0.4968941476
25	0.4946493536
26	0.4926576355
27	0.4901775398
28	0.4886364254
29	0.4868212331
30	0.4851158381
31	0.4835942009
32	0.4820262216
33	0.4805283059
34	0.4787594315
35	0.4775042747
36	0.4753432741
37	0.4738364357
38	0.4722946666
39	0.4718339502
40	0.4703724373
41	0.4693789837
42	0.468879765
43	0.4674153359
44	0.4659162412
45	0.4652684201
46	0.4644515107
47	0.4643157875
48	0.4638821053
49	0.4633301813
50	0.4624522417
51	0.4614106437
52	0.4609410071
53	0.4607075557
54	0.4598051525
55	0.4595186317
56	0.4590662246
57	0.4583138155
58	0.457612124
59	0.4574639083
60	0.4570666798
61	0.4560970207
62	0.455859542
63	0.4555390317
64	0.4549456346
65	0.4543324464
66	0.4538008816
67	0.4530213139
68	0.4528865722
69	0.4525266034
70	0.4521460721
71	0.4518673181
72	0.45144248
73	0.4514421003
74	0.4511400648
75	0.4506508988
76	0.4501478104
77	0.4496282297
78	0.449129075
79	0.4490189583
80	0.4486564692
81	0.4483630089
82	0.4481063401
83	0.4476940724
84	0.4470624121
85	0.4468722066
86	0.4465479876
87	0.4461340495
88	0.4455386262
89	0.4453148854
90	0.4448329389
91	0.4446912192
92	0.4443323672
93	0.4439054294
94	0.4438370043
95	0.4436325146
96	0.4433953985
97	0.4431404396
98	0.4428499181
99	0.4425779186
100	0.442347263
101	0.442347261
102	0.4421101573
103	0.4419785183
104	0.441826573
105	0.4417180593
106	0.4414665327
107	0.4410885387
108	0.4407275149
109	0.4405428759
110	0.4403867824
111	0.4399286689
112	0.4397711624
113	0.4396328924
114	0.4393367369
115	0.4391043823
116	0.4389684162
117	0.4389684097
118	0.4387026154
119	0.4387026146
120	0.4385890772
121	0.4383205453
122	0.4380393669
123	0.4374997816
124	0.4374114583
125	0.4371946339
126	0.4371024525
127	0.4365512848
128	0.4364224081
129	0.4359282148
130	0.4356880667
131	0.4355012555
132	0.4354489081
133	0.4353716542
134	0.4350367847
135	0.434653205
136	0.4346296103
137	0.4344429315
138	0.434442804
139	0.4344230554
140	0.4343921746
141	0.4343227608
142	0.4340439721
143	0.4338021357
144	0.4335104228
145	0.4334325783
146	0.4330757389
147	0.4329340731
148	0.4329208057
149	0.4325862113
150	0.4323686281
151	0.4321654162
152	0.4319505363
153	0.4317208481
154	0.4314333049
155	0.4311255723
156	0.4308865623
157	0.4306102057
158	0.4302412775
159	0.4298754647
160	0.4298157494
161	0.4295522996
162	0.4291234048
163	0.42881093
164	0.4285338451
165	0.428390222
166	0.4283439895
167	0.4278529898
168	0.4278328665
169	0.4276358682
170	0.4273864713
171	0.4269060009
172	0.4266506097
173	0.4265005391
174	0.4264792134
175	0.4262682091
176	0.4260949074
177	0.4257955066
178	0.425555993
179	0.4254157399
180	0.4251192036
181	0.424998019
182	0.4248029159
183	0.424399564
184	0.4243496003
185	0.4241670446
186	0.4241225118
187	0.4237938865
188	0.4236107447
189	0.4235351129
190	0.4232529793
191	0.4227813177
192	0.4225494218
193	0.4224819714
194	0.4222575181
195	0.4218791863
196	0.4215704895
197	0.4214168695
198	0.4211168662
199	0.4209916525
200	0.4206022239
201	0.42047855
202	0.4202883463
203	0.4199795998
204	0.4197587733
205	0.4195710393
206	0.4193864997
207	0.4191367911
208	0.4188217527
209	0.4185036086
210	0.4182882313
211	0.418118491
212	0.4179302221
213	0.4176632107
214	0.4173334039
215	0.4170493318
216	0.4166166629
217	0.4165440187
218	0.416261982
219	0.4160785615
220	0.4157135519
221	0.4154058088
222	0.4150753974
223	0.41503539
224	0.4146560277
225	0.4143056546
226	0.4139413359
227	0.4136672895
228	0.4133472279
229	0.413024794
230	0.4126801565
231	0.4125707261
232	0.4125649967
233	0.4123957963
234	0.4120851774
235	0.4118341013
236	0.4116382291
237	0.4115578716
238	0.4112563547
239	0.4110515236
240	0.4107933702
241	0.4106180774
242	0.4103073338
243	0.4100389291
244	0.4099929242
245	0.4096458705
246	0.4094847203
247	0.4093088072
248	0.409231005
249	0.4091321875
250	0.4088508879
251	0.408376606
252	0.4080667335
253	0.4077536988
254	0.4075908139
255	0.4073194164
256	0.4071443625
257	0.4069840398
258	0.4068452387
259	0.4064560813
260	0.4062492008
261	0.4061992648
262	0.4061957955
263	0.405829542
264	0.4055380268
265	0.4054103995
266	0.4051142143
267	0.4046985206
268	0.4046804948
269	0.4043579404
270	0.4041235687
271	0.4038797602
272	0.4037047834
273	0.4033856745
274	0.4033855614
275	0.4030962787
276	0.4030039925
277	0.4028099239
278	0.4025760035
279	0.4022920877
280	0.4019635195
281	0.4017951756
282	0.4013703386
283	0.4010692603
284	0.4009118083
285	0.4006805432
286	0.4005663674
287	0.4003119721
288	0.4000167714
289	0.3996913782
290	0.3994502178
291	0.3993339625
292	0.3992299458
293	0.3990395552
294	0.3990394204
295	0.3987168555
296	0.398622912
297	0.3982910793
298	0.398042028
299	0.3979617709
300	0.3978299904
301	0.3976609025
302	0.3974798407
303	0.3972931746
304	0.3969791813
305	0.3969770822
306	0.3967461976
307	0.3964550774
308	0.3964112879
309	0.3961349176
310	0.3957961116
311	0.3955338915
312	0.3955306983
313	0.3950866129
314	0.3948469597
315	0.3948469525
316	0.3947699798
317	0.3945111489
318	0.3943680351
319	0.3942687114
320	0.3940606125
321	0.3938943748
322	0.3937897865
323	0.3935638091
324	0.3932045163
325	0.3929088608
326	0.3927142884
327	0.3925652915
328	0.3923633385
329	0.3921285555
330	0.3918197637
331	0.3916799514
332	0.3915685558
333	0.3912584603
334	0.3911125439
335	0.390883089
336	0.3904686853
337	0.3902861138
338	0.3901849537
339	0.3901849444
340	0.390014071
341	0.3900140665
342	0.3898433766
343	0.3894509175
344	0.389125446
345	0.3888336058
346	0.3887493674
347	0.3887489978
348	0.3885119313
349	0.3882213146
350	0.3880209641
351	0.3879004953
352	0.3876583047
353	0.3874719738
354	0.387163736
355	0.3870152419
356	0.3868829691
357	0.3866791986
358	0.3863701692
359	0.3861280109
360	0.3859033265
361	0.3856762471
362	0.3854792852
363	0.3852395974
364	0.3849648735
365	0.384680615
366	0.3843856682
367	0.3843516014
368	0.38418442
369	0.383863211
370	0.3836479654
371	0.383358953
372	0.3832303709
373	0.3830187711
374	0.3827067598
375	0.3826184392
376	0.3824119585
377	0.3822255671
378	0.3820925923
379	0.3819124614
380	0.3819108017
381	0.3817050013
382	0.3814471589
383	0.3813459641
384	0.3809785106
385	0.3807602971
386	0.3806189671
387	0.3804300313
388	0.3802295061
389	0.3802266617
390	0.379845028
391	0.3798400019
392	0.3797660765
393	0.3794662861
394	0.3794631426
395	0.3791810555
396	0.3789708378
397	0.3786270362
398	0.3785862529
399	0.3784697997
400	0.3783082334
401	0.3779673845
402	0.3779673336
403	0.3779672944
404	0.3777381325
405	0.3776187659
406	0.3773872877
407	0.377262585
408	0.3770374321
409	0.3767917628
410	0.3765366801
411	0.3763124554
412	0.3762747224
413	0.3761856879
414	0.3761843376
415	0.3761843374
416	0.3759905069
