iter	Passed	Remaining
0	19	9786
1	41	10565
2	64	11008
3	87	11094
4	110	11285
5	137	11675
6	164	11888
7	184	11651
8	210	11821
9	247	12453
10	272	12454
11	296	12403
12	320	12361
13	362	12938
14	389	12969
15	414	12905
16	433	12661
17	463	12778
18	494	12874
19	513	12690
20	538	12636
21	556	12438
22	578	12352
23	604	12335
24	626	12259
25	651	12230
26	675	12180
27	720	12498
28	744	12457
29	768	12401
30	791	12327
31	816	12294
32	832	12136
33	854	12070
34	867	11875
35	891	11841
36	921	11877
37	941	11796
38	964	11749
39	987	11699
40	1014	11709
41	1034	11629
42	1044	11443
43	1067	11399
44	1090	11366
45	1114	11336
46	1138	11307
47	1158	11250
48	1184	11237
49	1207	11204
50	1233	11197
51	1245	11062
52	1269	11038
53	1294	11024
54	1318	11005
55	1343	10988
56	1367	10966
57	1390	10930
58	1413	10897
59	1435	10865
60	1461	10852
61	1485	10830
62	1508	10799
63	1530	10761
64	1555	10745
65	1579	10720
66	1598	10664
67	1627	10673
68	1644	10607
69	1668	10585
70	1693	10566
71	1716	10538
72	1725	10422
73	1748	10397
74	1758	10292
75	1781	10269
76	1804	10242
77	1826	10211
78	1849	10186
79	1875	10174
80	1898	10149
81	1911	10068
82	1923	9987
83	1945	9960
84	1968	9935
85	1991	9909
86	2015	9890
87	2040	9875
88	2060	9837
89	2079	9798
90	2104	9781
91	2129	9765
92	2152	9744
93	2176	9725
94	2197	9690
95	2212	9633
96	2229	9582
97	2250	9554
98	2273	9532
99	2298	9517
100	2317	9474
101	2362	9543
102	2422	9664
103	2486	9802
104	2548	9927
105	2617	10076
106	2644	10060
107	2663	10013
108	2679	9954
109	2744	10080
110	2819	10238
111	2883	10350
112	2954	10484
113	2993	10504
114	3052	10589
115	3110	10671
116	3161	10725
117	3188	10699
118	3246	10774
119	3299	10834
120	3349	10878
121	3378	10854
122	3429	10902
123	3472	10921
124	3513	10935
125	3588	11049
126	3635	11079
127	3677	11091
128	3728	11126
129	3775	11151
130	3821	11172
131	3873	11210
132	3900	11174
133	3933	11153
134	3980	11175
135	4004	11131
136	4037	11111
137	4087	11136
138	4115	11103
139	4162	11118
140	4188	11080
141	4217	11049
142	4263	11060
143	4284	11008
144	4317	10986
145	4344	10951
146	4371	10912
147	4429	10954
148	4481	10979
149	4537	11011
150	4574	10997
151	4624	11012
152	4646	10963
153	4676	10932
154	4729	10953
155	4779	10967
156	4827	10976
157	4873	10980
158	4922	10991
159	4940	10930
160	4955	10865
161	4975	10811
162	5014	10799
163	5050	10777
164	5099	10787
165	5151	10799
166	5179	10761
167	5231	10774
168	5296	10812
169	5365	10857
170	5409	10850
171	5462	10862
172	5522	10885
173	5577	10898
174	5629	10904
175	5674	10898
176	5723	10897
177	5773	10897
178	5823	10898
179	5861	10875
180	5914	10880
181	5958	10868
182	5983	10822
183	6029	10813
184	6077	10808
185	6095	10749
186	6141	10739
187	6190	10734
188	6238	10726
189	6272	10695
190	6322	10692
191	6368	10680
192	6388	10624
193	6429	10606
194	6478	10597
195	6529	10593
196	6558	10553
197	6614	10556
198	6665	10551
199	6720	10551
200	6807	10600
201	6870	10611
202	6934	10623
203	6951	10563
204	6981	10523
205	7006	10476
206	7035	10434
207	7063	10390
208	7089	10345
209	7120	10307
210	7190	10325
211	7233	10303
212	7257	10256
213	7268	10189
214	7287	10135
215	7307	10081
216	7316	10013
217	7338	9963
218	7362	9916
219	7388	9873
220	7412	9827
221	7441	9788
222	7464	9741
223	7493	9701
224	7527	9669
225	7553	9625
226	7580	9583
227	7606	9541
228	7615	9478
229	7640	9434
230	7664	9389
231	7690	9348
232	7718	9308
233	7748	9271
234	7777	9233
235	7801	9190
236	7829	9151
237	7843	9095
238	7870	9056
239	7893	9012
240	7917	8968
241	7939	8923
242	7961	8878
243	7985	8836
244	8008	8792
245	8032	8750
246	8065	8718
247	8090	8677
248	8118	8639
249	8146	8602
250	8172	8563
251	8203	8528
252	8231	8491
253	8254	8449
254	8268	8398
255	8291	8356
256	8314	8314
257	8333	8269
258	8354	8225
259	8380	8186
260	8404	8146
261	8428	8107
262	8449	8063
263	8474	8025
264	8500	7987
265	8525	7949
266	8550	7910
267	8578	7874
268	8608	7840
269	8639	7807
270	8669	7773
271	8699	7740
272	8729	7705
273	8760	7673
274	8791	7640
275	8818	7604
276	8845	7568
277	8873	7532
278	8901	7497
279	8929	7462
280	8952	7423
281	8964	7374
282	8993	7340
283	9020	7305
284	9047	7270
285	9076	7236
286	9104	7201
287	9128	7163
288	9155	7127
289	9179	7090
290	9204	7053
291	9229	7016
292	9255	6981
293	9279	6943
294	9306	6908
295	9328	6870
296	9356	6836
297	9380	6799
298	9395	6755
299	9407	6710
300	9432	6675
301	9460	6640
302	9487	6606
303	9516	6573
304	9534	6533
305	9558	6497
306	9585	6463
307	9607	6425
308	9617	6380
309	9652	6352
310	9684	6321
311	9710	6287
312	9740	6255
313	9779	6228
314	9808	6196
315	9838	6164
316	9885	6143
317	9921	6114
318	9970	6094
319	10004	6064
320	10050	6042
321	10084	6012
322	10114	5980
323	10146	5950
324	10178	5919
325	10205	5885
326	10233	5851
327	10251	5813
328	10279	5780
329	10310	5748
330	10335	5714
331	10353	5675
332	10384	5644
333	10412	5611
334	10439	5577
335	10464	5543
